Punto_De_Venta,Tipo_De_Comprobante,Numero_De_Comprobante,Fecha_Emision,Fecha_Vencimiento,Fecha_Pago,Estado,CUIT/CUIL,Razon_Social,Condicion,SubTotal,,
69877,FCEA,28054378,3/1/2019,25/1/2019,null,Pendiente de pago,37-64082255-0,Empresa 2058 S.A.,Responsable Inscripto,"27.723,00",,
93088,FCB,36234645,2/7/2018,5/8/2018,25/7/2018,Pagado,85-76366297-4,Empresa 1090 SRL,Régimen Simplificado,"4.574.809,00",,
76363,FCEA,11626308,3/3/2023,8/3/2023,null,Pendiente de pago,95-18004872-8,Empresa 601 SRL,Responsable Inscripto,"4.499.369,00",,
42102,FCC,35897896,6/4/2019,23/5/2019,20/4/2019,Pagado,78-82351053-9,Empresa 1369 SAS,Responsable Inscripto,"2.563.251,00",,
86844,FCC,43387850,8/1/2017,7/3/2017,15/1/2017,Pagado,33-87253406-3,Empresa 1250 SAS,Responsable Inscripto,"2.152.738,00",,
54518,FCA,61738607,24/3/2021,4/5/2021,21/4/2021,Pagado,42-17029424-2,Empresa 2237 SAS,Responsable Inscripto,"1.732.356,00",,
56395,FCA,17872111,20/2/2016,27/2/2016,null,Pendiente de pago,36-57828380-7,Persona 821,Régimen Simplificado,"1.539.381,00",,
25358,FCEA,12456972,3/12/2016,17/12/2016,21/1/2017,Vencido,76-98090115-0,Persona 539,Responsable Inscripto,"3.863.833,00",,
25925,FCC,32607237,22/8/2017,27/9/2017,9/9/2017,Pagado,67-88645503-6,Persona 2644,IVA Sujeto Exento,"3.193.208,00",,
75442,FCC,13666108,6/11/2024,25/12/2024,2/1/2025,Vencido,79-18735438-0,Persona 238,IVA Sujeto Exento,"2.446.635,00",,
22840,FCEA,37366011,17/7/2020,6/9/2020,29/8/2020,Pagado,81-95133562-0,Empresa 131 S.A.,Responsable Inscripto,"2.553.593,00",,
89286,FCB,66997012,23/6/2019,28/6/2019,18/8/2019,Vencido,99-90139845-3,Empresa 41 S.A.,IVA Sujeto Exento,"3.053.998,00",,
54518,FCEA,34335847,25/6/2016,23/7/2016,15/8/2016,Vencido,42-17029424-2,Empresa 2237 SAS,Responsable Inscripto,"1.659.267,00",,
63659,FCEA,62844918,3/12/2016,1/2/2017,11/12/2016,Pagado,31-76745409-5,Persona 2184,IVA Sujeto Exento,"949.005,00",,
21369,FCC,61633829,22/8/2016,8/9/2016,24/8/2016,Pagado,34-25427177-8,Empresa 1717 SAS,Responsable Inscripto,"4.164.333,00",,
75442,FCB,87873384,20/9/2016,9/11/2016,14/11/2016,Vencido,79-18735438-0,Persona 238,IVA Sujeto Exento,"348.585,00",,
70947,FCB,85488249,29/1/2024,28/3/2024,26/3/2024,Pagado,76-13583753-3,Persona 224,IVA Sujeto Exento,"3.885.612,00",,
51889,FCC,36564327,28/10/2020,13/11/2020,4/11/2020,Pagado,42-29272999-4,Empresa 2351 S.A.,IVA Sujeto Exento,"3.411.992,00",,
64192,FCB,48693684,14/5/2022,3/6/2022,5/6/2022,Vencido,11-44968103-5,Persona 2001,IVA Sujeto Exento,"274.118,00",,
23599,FCC,55488147,2/6/2021,28/6/2021,null,Pendiente de pago,24-45525912-5,Empresa 134 SAS,Responsable Inscripto,"1.277.292,00",,
58241,FCB,85180725,26/10/2016,22/11/2016,17/12/2016,Vencido,26-67874588-2,Empresa 1586 SAS,Régimen Simplificado,"4.177.207,00",,
14296,FCEA,31761176,27/8/2020,7/9/2020,null,Pendiente de pago,37-42025066-3,Empresa 47 SAS,Responsable Inscripto,"3.953.773,00",,
56943,FCC,39389466,18/4/2021,31/5/2021,6/6/2021,Vencido,76-77731811-8,Empresa 1145 SRL,Responsable Inscripto,"1.449.382,00",,
64112,FCC,27322448,28/4/2017,30/4/2017,21/5/2017,Vencido,13-95389434-4,Persona 334,Responsable Inscripto,"3.011.739,00",,
79869,FCEA,59138714,28/2/2024,25/4/2024,null,Pendiente de pago,87-81739194-4,Empresa 1978 SAS,Responsable Inscripto,"3.881.019,00",,
65328,FCB,95249468,7/11/2018,29/12/2018,26/12/2018,Pagado,33-38852226-4,Empresa 1459 SAS,IVA Sujeto Exento,"4.965.348,00",,
15277,FCB,18467298,2/4/2023,16/5/2023,null,Pendiente de pago,74-13629649-9,Persona 2693,IVA Sujeto Exento,"827.133,00",,
95734,FCA,49433653,18/11/2017,31/12/2017,23/12/2017,Pagado,31-74129078-7,Persona 273,IVA Sujeto Exento,"161.512,00",,
75442,FCB,68558125,17/2/2022,17/3/2022,15/4/2022,Vencido,79-18735438-0,Persona 238,IVA Sujeto Exento,"2.527.766,00",,
95138,FCA,46163421,26/11/2024,20/1/2025,1/1/2025,Pagado,10-15601105-2,Empresa 2869 SRL,IVA Sujeto Exento,"2.237.066,00",,
79869,FCB,68036923,24/4/2019,8/6/2019,16/6/2019,Vencido,87-81739194-4,Empresa 1978 SAS,Responsable Inscripto,"1.694.499,00",,
37997,FCB,63930999,5/6/2023,27/7/2023,28/6/2023,Pagado,78-65849467-5,Persona 564,Responsable Inscripto,"1.974.169,00",,
23599,FCA,95239090,15/5/2018,16/5/2018,20/6/2018,Vencido,24-45525912-5,Empresa 134 SAS,Responsable Inscripto,"1.712.484,00",,
50822,FCC,76736314,31/3/2021,14/5/2021,19/5/2021,Vencido,30-36263360-8,Persona 1210,IVA Sujeto Exento,"4.548.426,00",,
54173,FCC,64173555,10/9/2023,12/9/2023,null,Pendiente de pago,43-29212096-5,Empresa 82 S.A.,Régimen Simplificado,"4.837.555,00",,
12529,FCEA,81179892,20/10/2023,28/10/2023,null,Pendiente de pago,80-42539671-5,Persona 1843,Régimen Simplificado,"2.855.864,00",,
51714,FCB,88915163,4/4/2014,20/5/2014,null,Pendiente de pago,44-88313866-0,Persona 97,Régimen Simplificado,"1.022.903,00",,
74160,FCA,97679189,29/8/2020,22/9/2020,25/9/2020,Vencido,86-94488253-5,Empresa 1060 S.A.,Responsable Inscripto,"447.688,00",,
40063,FCB,34517987,26/3/2022,19/5/2022,18/5/2022,Pagado,58-66998942-7,Empresa 1720 SRL,IVA Sujeto Exento,"2.911.274,00",,
88608,FCEA,67068437,14/5/2023,30/6/2023,30/6/2023,Pagado,48-37819054-6,Empresa 908 S.A.,Responsable Inscripto,"4.331.094,00",,
12655,FCB,63638638,23/2/2019,17/3/2019,4/4/2019,Vencido,46-41474212-3,Empresa 2245 SRL,Régimen Simplificado,"3.256.033,00",,
99315,FCC,11499303,11/6/2023,24/7/2023,null,Pendiente de pago,72-22327499-2,Persona 770,Responsable Inscripto,"153.071,00",,
10947,FCC,18565874,23/9/2022,14/10/2022,22/11/2022,Vencido,42-85844862-7,Persona 429,IVA Sujeto Exento,"4.127.249,00",,
11856,FCA,74642059,7/10/2016,17/10/2016,31/10/2016,Vencido,97-32795389-3,Empresa 2515 S.A.,Responsable Inscripto,"4.607.934,00",,
32667,FCA,67948677,11/7/2015,19/8/2015,26/7/2015,Pagado,12-54154602-8,Persona 2305,IVA Sujeto Exento,"1.843.026,00",,
41672,FCB,53512105,2/9/2019,10/9/2019,25/10/2019,Vencido,91-14271494-8,Persona 2884,IVA Sujeto Exento,"2.631.036,00",,
63727,FCEA,76045551,8/8/2015,7/9/2015,25/8/2015,Pagado,32-66436195-1,Empresa 368 S.A.,Responsable Inscripto,"186.245,00",,
81758,FCEA,53816323,6/9/2016,21/9/2016,30/10/2016,Vencido,80-73593575-9,Empresa 119 SRL,Responsable Inscripto,"2.340.654,00",,
63727,FCB,40009567,7/12/2021,18/12/2021,17/1/2022,Vencido,32-66436195-1,Empresa 368 S.A.,Responsable Inscripto,"260.271,00",,
91896,FCEA,50608553,23/9/2022,3/11/2022,29/10/2022,Pagado,86-11196220-2,Empresa 710 SRL,Régimen Simplificado,"413.724,00",,
73520,FCB,23430098,7/3/2016,22/4/2016,23/3/2016,Pagado,91-28066873-9,Persona 1861,IVA Sujeto Exento,"1.657.395,00",,
92549,FCC,74944035,2/8/2017,24/8/2017,null,Pendiente de pago,81-41294138-3,Persona 1079,Responsable Inscripto,"4.877.059,00",,
66493,FCA,66725793,7/7/2017,27/7/2017,null,Pendiente de pago,42-34973289-9,Persona 2110,Responsable Inscripto,"1.372.519,00",,
25358,FCA,59285639,29/1/2019,2/3/2019,22/2/2019,Pagado,76-98090115-0,Persona 539,Responsable Inscripto,"4.654.096,00",,
26131,FCA,36418683,26/10/2024,16/11/2024,4/12/2024,Vencido,71-62782899-9,Empresa 2588 S.A.,Responsable Inscripto,"1.742.967,00",,
31646,FCA,42871286,17/3/2023,28/4/2023,24/4/2023,Pagado,10-76277901-1,Empresa 598 SAS,Régimen Simplificado,"2.545.905,00",,
33805,FCC,47149737,16/2/2019,4/3/2019,31/3/2019,Vencido,39-24740191-5,Empresa 446 SAS,Régimen Simplificado,"3.577.856,00",,
58828,FCEA,43320463,27/4/2024,14/5/2024,null,Pendiente de pago,92-50222471-6,Empresa 2838 SAS,Responsable Inscripto,"4.846.571,00",,
40831,FCEA,70021269,17/11/2024,23/11/2024,11/12/2024,Vencido,82-95234926-7,Persona 2890,Responsable Inscripto,"3.703.208,00",,
42516,FCA,88807396,21/9/2023,26/9/2023,17/10/2023,Vencido,36-76739481-0,Empresa 115 SRL,IVA Sujeto Exento,"1.912.175,00",,
88914,FCC,57687155,15/2/2023,7/4/2023,null,Pendiente de pago,18-86679843-3,Persona 2663,Régimen Simplificado,"208.017,00",,
53290,FCEA,29938128,14/6/2014,8/7/2014,29/7/2014,Vencido,77-72047648-5,Persona 1413,Responsable Inscripto,"4.444.309,00",,
42069,FCB,99634016,12/3/2019,30/3/2019,29/4/2019,Vencido,34-85210024-9,Persona 1819,Régimen Simplificado,"3.938.569,00",,
70947,FCC,49545812,1/5/2016,8/6/2016,10/6/2016,Vencido,76-13583753-3,Persona 224,IVA Sujeto Exento,"146.398,00",,
45903,FCC,70138067,27/8/2022,7/9/2022,25/10/2022,Vencido,57-82884798-1,Empresa 2130 S.A.,IVA Sujeto Exento,"3.972.003,00",,
77201,FCA,16627257,14/11/2021,30/11/2021,null,Pendiente de pago,54-65043389-0,Empresa 2373 SAS,Régimen Simplificado,"959.883,00",,
56098,FCB,67320442,15/11/2023,21/11/2023,18/12/2023,Vencido,86-26088519-5,Persona 2525,Responsable Inscripto,"3.847.355,00",,
82820,FCEA,67770902,15/5/2018,25/6/2018,12/7/2018,Vencido,18-48639533-1,Persona 895,IVA Sujeto Exento,"2.394.804,00",,
96840,FCA,90566604,15/11/2020,26/11/2020,2/1/2021,Vencido,14-10044519-2,Persona 2980,Responsable Inscripto,"1.161.411,00",,
14526,FCB,19899681,2/3/2018,28/4/2018,9/3/2018,Pagado,24-35416759-8,Persona 1428,Responsable Inscripto,"428.924,00",,
32667,FCA,25181400,3/4/2019,28/4/2019,null,Pendiente de pago,12-54154602-8,Persona 2305,IVA Sujeto Exento,"2.009.217,00",,
64046,FCA,47015864,19/9/2020,13/10/2020,2/10/2020,Pagado,14-59725780-2,Persona 695,Responsable Inscripto,"1.805.241,00",,
30548,FCC,72050420,21/6/2024,2/7/2024,null,Pendiente de pago,45-47139416-6,Empresa 2973 S.A.,Responsable Inscripto,"2.302.206,00",,
16498,FCB,41091091,20/12/2015,20/1/2016,22/1/2016,Vencido,83-33328238-5,Empresa 497 SAS,Responsable Inscripto,"3.401.296,00",,
70041,FCEA,18111926,1/9/2017,8/10/2017,22/10/2017,Vencido,13-76082330-6,Empresa 669 SAS,Régimen Simplificado,"2.640.766,00",,
77576,FCEA,41365198,24/9/2021,20/11/2021,19/11/2021,Pagado,10-58282295-3,Empresa 1048 S.A.,IVA Sujeto Exento,"2.776.229,00",,
33805,FCB,66841894,8/9/2024,3/10/2024,null,Pendiente de pago,39-24740191-5,Empresa 446 SAS,Régimen Simplificado,"2.446.185,00",,
78420,FCA,24842841,5/4/2021,8/4/2021,null,Pendiente de pago,59-86494597-0,Persona 1708,Régimen Simplificado,"23.303,00",,
32701,FCC,40928660,19/11/2017,23/11/2017,1/12/2017,Vencido,96-90199253-4,Empresa 2995 SAS,Responsable Inscripto,"2.727.946,00",,
15277,FCA,88233134,29/10/2019,27/12/2019,13/11/2019,Pagado,74-13629649-9,Persona 2693,IVA Sujeto Exento,"2.043.223,00",,
81130,FCC,25676285,20/7/2021,1/9/2021,null,Pendiente de pago,67-28531110-8,Persona 2696,Régimen Simplificado,"4.530.266,00",,
69877,FCB,84973209,13/7/2014,16/7/2014,19/7/2014,Vencido,37-64082255-0,Empresa 2058 S.A.,Responsable Inscripto,"1.622.651,00",,
73597,FCB,48151121,9/12/2016,1/1/2017,22/12/2016,Pagado,19-96259787-7,Empresa 865 S.A.,IVA Sujeto Exento,"1.033.419,00",,
76235,FCB,51712544,4/2/2023,13/3/2023,17/3/2023,Vencido,71-95358903-9,Persona 2527,Régimen Simplificado,"4.148.164,00",,
63597,FCEA,15256623,9/1/2023,28/2/2023,null,Pendiente de pago,15-64984045-0,Empresa 313 S.A.,IVA Sujeto Exento,"3.267.681,00",,
16862,FCB,57158502,4/3/2017,6/4/2017,14/4/2017,Vencido,74-83115626-4,Empresa 2415 SRL,Responsable Inscripto,"2.159.894,00",,
56858,FCA,27886014,14/3/2020,21/4/2020,null,Pendiente de pago,20-67384273-3,Empresa 2893 SAS,Responsable Inscripto,"646.666,00",,
51889,FCC,58392449,4/5/2017,11/6/2017,null,Pendiente de pago,42-29272999-4,Empresa 2351 S.A.,IVA Sujeto Exento,"2.497.206,00",,
71895,FCEA,39605295,31/3/2017,26/4/2017,28/4/2017,Vencido,50-20430021-6,Empresa 789 SRL,IVA Sujeto Exento,"1.780.665,00",,
62998,FCA,69352747,12/5/2014,20/6/2014,null,Pendiente de pago,68-44115597-0,Persona 1794,Responsable Inscripto,"2.889.969,00",,
33455,FCA,62987634,8/3/2015,29/4/2015,9/4/2015,Pagado,42-90855541-9,Empresa 2596 SAS,Responsable Inscripto,"307.076,00",,
53902,FCA,63113843,4/4/2017,18/4/2017,null,Pendiente de pago,97-95602822-8,Persona 206,IVA Sujeto Exento,"1.002.623,00",,
24581,FCB,55251363,8/10/2015,13/10/2015,28/10/2015,Vencido,42-50145067-9,Empresa 1267 S.A.,Régimen Simplificado,"393.919,00",,
69297,FCC,88752991,6/7/2024,8/8/2024,11/8/2024,Vencido,68-49429680-9,Persona 544,Responsable Inscripto,"2.268.682,00",,
28939,FCC,25206351,10/12/2024,16/12/2024,null,Pendiente de pago,99-38099023-1,Empresa 449 S.A.,Responsable Inscripto,"1.836.103,00",,
79965,FCEA,24170780,15/4/2021,2/6/2021,30/4/2021,Pagado,19-87576405-4,Empresa 385 SRL,Régimen Simplificado,"385.458,00",,
93088,FCA,45131632,22/2/2015,24/3/2015,null,Pendiente de pago,85-76366297-4,Empresa 1090 SRL,Régimen Simplificado,"1.526.619,00",,
15206,FCEA,77258302,12/6/2022,28/7/2022,null,Pendiente de pago,97-11042536-7,Empresa 2526 SAS,Responsable Inscripto,"1.097.852,00",,
70947,FCA,83503979,11/3/2019,25/3/2019,17/4/2019,Vencido,76-13583753-3,Persona 224,IVA Sujeto Exento,"169.401,00",,
56426,FCEA,81448217,15/10/2024,24/11/2024,null,Pendiente de pago,61-24559982-7,Empresa 1319 SRL,Régimen Simplificado,"2.301.306,00",,
92341,FCB,85711784,16/12/2017,31/1/2018,null,Pendiente de pago,88-24027818-2,Persona 1734,Responsable Inscripto,"3.763.897,00",,
19644,FCB,10701450,29/3/2019,4/5/2019,28/5/2019,Vencido,28-63858841-4,Persona 2716,Régimen Simplificado,"2.480.643,00",,
20014,FCEA,77281987,31/5/2015,6/7/2015,25/6/2015,Pagado,76-47358896-1,Persona 1849,Régimen Simplificado,"3.574.352,00",,
66206,FCC,29567516,16/7/2021,27/7/2021,25/8/2021,Vencido,84-70624242-6,Persona 2033,Régimen Simplificado,"4.773.847,00",,
24581,FCB,53429401,30/8/2019,19/9/2019,20/9/2019,Vencido,42-50145067-9,Empresa 1267 S.A.,Régimen Simplificado,"2.612.149,00",,
14807,FCA,45400097,6/10/2022,15/10/2022,null,Pendiente de pago,72-48674262-4,Persona 523,Responsable Inscripto,"2.294.077,00",,
50474,FCC,15831065,26/1/2018,9/2/2018,20/2/2018,Vencido,34-50007001-6,Persona 303,Responsable Inscripto,"3.722.262,00",,
86516,FCB,50154106,9/6/2017,7/8/2017,11/7/2017,Pagado,87-28023727-7,Persona 1837,Régimen Simplificado,"1.207.278,00",,
43454,FCEA,87842145,1/12/2019,30/1/2020,1/1/2020,Pagado,91-46790979-3,Empresa 929 S.A.,Régimen Simplificado,"3.869.326,00",,
98079,FCA,95612599,15/6/2016,12/8/2016,13/8/2016,Vencido,29-44187069-6,Persona 699,Régimen Simplificado,"4.458.847,00",,
71428,FCB,65344352,11/11/2023,25/12/2023,5/1/2024,Vencido,76-93129886-9,Persona 2720,Responsable Inscripto,"2.737.435,00",,
41665,FCB,65308696,16/10/2019,13/11/2019,null,Pendiente de pago,11-13914235-0,Persona 1540,Responsable Inscripto,"3.488.545,00",,
87432,FCA,36404049,10/11/2024,10/12/2024,12/11/2024,Pagado,84-44117868-7,Empresa 678 SAS,Responsable Inscripto,"372.268,00",,
44460,FCC,11156627,4/6/2022,9/6/2022,5/7/2022,Vencido,49-31470815-8,Empresa 881 SAS,Régimen Simplificado,"845.577,00",,
77511,FCA,97342103,17/3/2022,15/4/2022,null,Pendiente de pago,54-68652513-7,Persona 928,IVA Sujeto Exento,"4.245.791,00",,
87432,FCB,16318516,16/2/2024,15/3/2024,2/4/2024,Vencido,84-44117868-7,Empresa 678 SAS,Responsable Inscripto,"764.798,00",,
36656,FCEA,76244970,6/1/2018,1/2/2018,16/2/2018,Vencido,69-11740943-2,Empresa 1331 S.A.,IVA Sujeto Exento,"3.088.713,00",,
25921,FCEA,56422790,20/8/2020,13/9/2020,null,Pendiente de pago,49-42627842-4,Persona 155,Responsable Inscripto,"3.367.695,00",,
18985,FCEA,86949718,21/11/2021,25/12/2021,14/1/2022,Vencido,84-54383426-5,Empresa 197 S.A.,Responsable Inscripto,"4.852.101,00",,
98583,FCEA,29318716,19/2/2022,10/3/2022,null,Pendiente de pago,33-45485448-4,Persona 503,Régimen Simplificado,"473.865,00",,
19913,FCC,16932265,21/10/2024,23/11/2024,16/12/2024,Vencido,40-96098348-2,Empresa 1875 S.A.,Responsable Inscripto,"2.164.743,00",,
95734,FCC,57435702,26/8/2019,24/10/2019,14/10/2019,Pagado,31-74129078-7,Persona 273,IVA Sujeto Exento,"4.910.872,00",,
79505,FCEA,36441342,12/8/2019,6/10/2019,null,Pendiente de pago,68-66691348-5,Empresa 1925 S.A.,Responsable Inscripto,"4.597.688,00",,
75442,FCB,18780290,12/11/2017,8/1/2018,null,Pendiente de pago,79-18735438-0,Persona 238,IVA Sujeto Exento,"397.003,00",,
22519,FCC,12822629,30/1/2024,21/3/2024,20/3/2024,Pagado,82-81002972-9,Empresa 2110 SAS,Responsable Inscripto,"442.051,00",,
45509,FCC,37071113,7/4/2022,13/5/2022,6/6/2022,Vencido,25-55775425-4,Persona 1662,Responsable Inscripto,"2.997.842,00",,
23483,FCA,49684654,1/2/2022,1/3/2022,null,Pendiente de pago,66-65328141-7,Empresa 1011 SRL,Régimen Simplificado,"25.194,00",,
23859,FCA,43702919,6/11/2020,21/12/2020,1/12/2020,Pagado,36-92444950-2,Empresa 886 S.A.,Responsable Inscripto,"2.745.987,00",,
32823,FCB,51214748,22/4/2019,14/6/2019,18/6/2019,Vencido,61-25417156-9,Empresa 2430 SRL,Régimen Simplificado,"1.326.177,00",,
21631,FCB,20341317,22/11/2018,6/12/2018,null,Pendiente de pago,99-57206296-9,Persona 1703,Responsable Inscripto,"1.202.589,00",,
94631,FCEA,99678366,4/4/2014,1/6/2014,26/4/2014,Pagado,68-75181686-0,Empresa 2267 SRL,Responsable Inscripto,"567.312,00",,
11235,FCB,24955812,21/12/2021,2/1/2022,5/1/2022,Vencido,39-54765908-5,Persona 348,Responsable Inscripto,"69.481,00",,
82920,FCC,25217820,30/4/2023,1/6/2023,null,Pendiente de pago,23-75236764-3,Persona 2021,Responsable Inscripto,"414.893,00",,
22159,FCA,43330559,28/10/2021,20/12/2021,15/12/2021,Pagado,65-54293764-2,Persona 1245,Responsable Inscripto,"4.756.885,00",,
14807,FCA,10775919,9/3/2017,27/4/2017,null,Pendiente de pago,72-48674262-4,Persona 523,Responsable Inscripto,"348.931,00",,
96565,FCEA,48291513,10/7/2018,25/7/2018,19/8/2018,Vencido,59-97975157-0,Empresa 489 SRL,Responsable Inscripto,"4.641.886,00",,
25249,FCB,50275338,17/3/2024,29/4/2024,null,Pendiente de pago,42-65634974-4,Empresa 1871 SRL,IVA Sujeto Exento,"4.793.727,00",,
45982,FCB,95070979,27/8/2024,5/10/2024,6/9/2024,Pagado,69-64957967-7,Persona 960,Responsable Inscripto,"3.634.729,00",,
63549,FCC,16780857,29/8/2018,31/8/2018,18/9/2018,Vencido,53-40850542-1,Persona 366,Responsable Inscripto,"1.490.416,00",,
26460,FCB,53138361,10/11/2014,18/11/2014,31/12/2014,Vencido,11-74060754-1,Persona 534,Régimen Simplificado,"1.017.128,00",,
93811,FCEA,45685810,15/10/2020,22/11/2020,5/12/2020,Vencido,54-55862659-4,Empresa 157 SAS,IVA Sujeto Exento,"3.552.994,00",,
88285,FCB,34703429,18/7/2021,11/9/2021,25/8/2021,Pagado,16-40987456-4,Empresa 1208 SRL,Régimen Simplificado,"4.317.638,00",,
77511,FCEA,73073366,3/11/2018,14/12/2018,20/12/2018,Vencido,54-68652513-7,Persona 928,IVA Sujeto Exento,"4.394.885,00",,
59763,FCA,29165755,19/8/2019,9/9/2019,null,Pendiente de pago,54-53395354-9,Persona 1103,Responsable Inscripto,"2.988.803,00",,
19192,FCEA,81363707,10/8/2016,2/9/2016,null,Pendiente de pago,65-52707313-3,Empresa 288 SAS,Régimen Simplificado,"171.192,00",,
90049,FCA,48701917,3/4/2019,3/5/2019,8/4/2019,Pagado,93-15187469-3,Empresa 2425 SRL,IVA Sujeto Exento,"2.144.637,00",,
56462,FCEA,79519304,25/6/2015,14/7/2015,4/8/2015,Vencido,78-20073427-2,Persona 1707,IVA Sujeto Exento,"1.945.797,00",,
28216,FCC,37538060,9/9/2015,17/10/2015,4/10/2015,Pagado,51-77009030-4,Empresa 63 SAS,Régimen Simplificado,"2.211.292,00",,
14296,FCEA,71565235,21/10/2014,9/12/2014,13/11/2014,Pagado,37-42025066-3,Empresa 47 SAS,Responsable Inscripto,"466.774,00",,
33805,FCC,23640244,29/5/2022,9/6/2022,23/7/2022,Vencido,39-24740191-5,Empresa 446 SAS,Régimen Simplificado,"2.885.616,00",,
95517,FCEA,98068952,5/1/2019,29/1/2019,30/1/2019,Vencido,10-30860482-3,Persona 2288,Responsable Inscripto,"1.395.077,00",,
24792,FCB,23717274,29/3/2020,27/4/2020,null,Pendiente de pago,79-12000001-0,Persona 2246,Responsable Inscripto,"3.110.903,00",,
53902,FCA,48186955,16/7/2017,20/8/2017,null,Pendiente de pago,97-95602822-8,Persona 206,IVA Sujeto Exento,"2.365.406,00",,
91670,FCC,23484596,6/9/2014,31/10/2014,null,Pendiente de pago,83-47572663-5,Empresa 1724 SAS,IVA Sujeto Exento,"583.425,00",,
64247,FCA,77694211,24/3/2015,26/4/2015,null,Pendiente de pago,64-28881496-1,Persona 2143,Régimen Simplificado,"3.007.511,00",,
77243,FCC,49714406,11/5/2018,30/6/2018,28/6/2018,Pagado,31-65735130-3,Empresa 1107 SAS,Responsable Inscripto,"1.486.377,00",,
11143,FCA,12424867,22/2/2020,9/3/2020,12/3/2020,Vencido,12-44529688-8,Empresa 2844 SAS,Régimen Simplificado,"4.001.323,00",,
